"city","datetime","pollutant","forecast_value"
"X1432A","19.9583333333333","PM2.5",79.7882987077011
"X1432A","20","PM2.5",79.6394025181125
"X1432A","20.0416666666667","PM2.5",79.5235478750543
"X1432A","20.0833333333333","PM2.5",79.4336770448129
"X1432A","20.125","PM2.5",79.3641565132196
"X1432A","20.1666666666667","PM2.5",79.3105160131549
"X1432A","20.2083333333333","PM2.5",79.2692264776699
"X1432A","20.25","PM2.5",79.2375144011969
"X1432A","20.2916666666667","PM2.5",79.2132087710002
"X1432A","20.3333333333333","PM2.5",79.1946162537477
"X1432A","20.375","PM2.5",79.1804203497494
"X1432A","20.4166666666667","PM2.5",79.1696005338693
"X1432A","20.4583333333333","PM2.5",79.1613678416344
"X1432A","20.5","PM2.5",79.1551138416183
"X1432A","20.5416666666667","PM2.5",79.1503704081976
"X1432A","20.5833333333333","PM2.5",79.1467781441111
"X1432A","20.625","PM2.5",79.1440616870911
"X1432A","20.6666666666667","PM2.5",79.1420104657178
"X1432A","20.7083333333333","PM2.5",79.1404637483975
"X1432A","20.75","PM2.5",79.1392990605698
"X1432A","20.7916666666667","PM2.5",79.1384232347033
"X1432A","20.8333333333333","PM2.5",79.137765511335
"X1432A","20.875","PM2.5",79.137272233102
"X1432A","20.9166666666667","PM2.5",79.1369027725619
"X1432A","20.9583333333333","PM2.5",79.1366264131439
"X1432A","21","PM2.5",79.1364199646574
"X1432A","21.0416666666667","PM2.5",79.1362659436482
"X1432A","21.0833333333333","PM2.5",79.1361511871904
"X1432A","21.125","PM2.5",79.1360657986166
"X1432A","21.1666666666667","PM2.5",79.1360023469815
"X1432A","21.2083333333333","PM2.5",79.1359552601281
"X1432A","21.25","PM2.5",79.1359203652258
"X1432A","21.2916666666667","PM2.5",79.1358945414551
"X1432A","21.3333333333333","PM2.5",79.1358754578385
"X1432A","21.375","PM2.5",79.1358613756216
"X1432A","21.4166666666667","PM2.5",79.135850999514
"X1432A","21.4583333333333","PM2.5",79.1358433658621
"X1432A","21.5","PM2.5",79.1358377586962
"X1432A","21.5416666666667","PM2.5",79.1358336467877
"X1432A","21.5833333333333","PM2.5",79.1358306365211
"X1432A","21.625","PM2.5",79.1358284366522
"X1432A","21.6666666666667","PM2.5",79.1358268319899
"X1432A","21.7083333333333","PM2.5",79.1358256637677
"X1432A","21.75","PM2.5",79.1358248150239
"X1432A","21.7916666666667","PM2.5",79.1358241997262
"X1432A","21.8333333333333","PM2.5",79.135823754693
"X1432A","21.875","PM2.5",79.1358234336008
"X1432A","21.9166666666667","PM2.5",79.1358232025436
"X1432A","21.9583333333333","PM2.5",79.1358230367487
"X1432A","22","PM2.5",79.1358229181501
"X1432A","22.0416666666667","PM2.5",79.1358228335985
"X1432A","22.0833333333333","PM2.5",79.1358227735431
"X1432A","22.125","PM2.5",79.1358227310619
"X1432A","22.1666666666667","PM2.5",79.1358227011495
"X1432A","22.2083333333333","PM2.5",79.135822680196
"X1432A","22.25","PM2.5",79.1358226656042
"X1432A","22.2916666666667","PM2.5",79.1358226555114
"X1432A","22.3333333333333","PM2.5",79.1358226485855
"X1432A","22.375","PM2.5",79.1358226438774
"X1432A","22.4166666666667","PM2.5",79.135822640713
"X1432A","22.4583333333333","PM2.5",79.135822638616
"X1432A","22.5","PM2.5",79.135822637251
"X1432A","22.5416666666667","PM2.5",79.1358226363834
"X1432A","22.5833333333333","PM2.5",79.1358226358498
"X1432A","22.625","PM2.5",79.1358226355374
"X1432A","22.6666666666667","PM2.5",79.1358226353687
"X1432A","22.7083333333333","PM2.5",79.1358226352912
"X1432A","22.75","PM2.5",79.1358226352697
"X1432A","22.7916666666667","PM2.5",79.1358226352809
"X1432A","22.8333333333333","PM2.5",79.1358226353096
"X1432A","22.875","PM2.5",79.1358226353462
"X1432A","22.9166666666667","PM2.5",79.1358226353849
"X1432A","22.9583333333333","PM2.5",79.1358226354222
"X1432A","23","PM2.5",79.1358226354563
"X1432A","23.0416666666667","PM2.5",79.1358226354864
"X1432A","23.0833333333333","PM2.5",79.1358226355124
"X1432A","23.125","PM2.5",79.1358226355344
"X1432A","23.1666666666667","PM2.5",79.1358226355526
"X1432A","23.2083333333333","PM2.5",79.1358226355677
"X1432A","23.25","PM2.5",79.1358226355799
"X1432A","23.2916666666667","PM2.5",79.1358226355899
"X1432A","23.3333333333333","PM2.5",79.1358226355978
"X1432A","23.375","PM2.5",79.1358226356042
"X1432A","23.4166666666667","PM2.5",79.1358226356092
"X1432A","23.4583333333333","PM2.5",79.1358226356132
"X1432A","23.5","PM2.5",79.1358226356164
"X1432A","23.5416666666667","PM2.5",79.1358226356188
"X1432A","23.5833333333333","PM2.5",79.1358226356207
"X1432A","23.625","PM2.5",79.1358226356222
"X1432A","23.6666666666667","PM2.5",79.1358226356234
"X1432A","23.7083333333333","PM2.5",79.1358226356243
"X1432A","23.75","PM2.5",79.135822635625
